filename,width,height,class,xmin,ymin,xmax,ymax
2008_003132_jpg.rf.92f6223defec4f57f2d7b9cfa28140c0.jpg,500,375,person,219,98,269,283
2008_003132_jpg.rf.92f6223defec4f57f2d7b9cfa28140c0.jpg,500,375,person,114,124,155,263
2008_003132_jpg.rf.92f6223defec4f57f2d7b9cfa28140c0.jpg,500,375,person,43,139,98,340
004574_jpg.rf.7c8cea69d7be45f58febcede26ef0c6e.jpg,500,333,person,145,118,229,333
004574_jpg.rf.7c8cea69d7be45f58febcede26ef0c6e.jpg,500,333,person,285,105,349,329
2009_002333_jpg.rf.51d5175b932934546628aba65da26b1b.jpg,500,333,person,81,0,499,332
2008_003140_jpg.rf.848a48bcb12976b58c0f0dc8eb496e93.jpg,500,375,person,165,124,197,210
2008_003140_jpg.rf.848a48bcb12976b58c0f0dc8eb496e93.jpg,500,375,person,188,146,313,329
2008_003140_jpg.rf.848a48bcb12976b58c0f0dc8eb496e93.jpg,500,375,person,88,102,182,374

2010_004168_jpg.rf.df919cdb5fc2ef00f4b4b31497376bf1.jpg,500,375,person,157,153,216,295
2010_004168_jpg.rf.df919cdb5fc2ef00f4b4b31497376bf1.jpg,500,375,person,223,161,263,268
2010_004168_jpg.rf.df919cdb5fc2ef00f4b4b31497376bf1.jpg,500,375,person,272,166,302,259
2009_002360_jpg.rf.18ffb8fd837b70fba31c69e118d0716e.jpg,458,458,person,253,0,383,201
2008_003143_jpg.rf.f36e4dc02ed706c73fbca76ff09a412e.jpg,500,375,person,0,26,422,374
2008_003143_jpg.rf.f36e4dc02ed706c73fbca76ff09a412e.jpg,500,375,person,289,0,499,374
2009_002371_jpg.rf.7d6c776ce26336d09db04282af94ab88.jpg,470,352,person,139,193,357,352
2009_002371_jpg.rf.7d6c776ce26336d09db04282af94ab88.jpg,470,352,person,357,193,470,352
point03_32_png_jpg.rf.cb1d764d2722a5a4664bd343a8b5e9f7.jpg,1280,720,person,394,230,586,681
point03_32_png_jpg.rf.cb1d764d2722a5a4664bd343a8b5e9f7.jpg,1280,720,person,677,0,718,104
2009_002317_jpg.rf.242852ab8624ffd536172c57cbe7fbe5.jpg,500,326,person,194,54,402,262
2010_002211_jpg.rf.dfaad57861f0d1690daad3dfa3332a01.jpg,375,500,person,171,143,357,499
2010_005897_jpg.rf.c406f1ada6b7ad7740cecb5cf3df974c.jpg,470,352,person,297,109,470,352
2009_002363_jpg.rf.247615e4b9114261119b0c3592ee5735.jpg,848,566,person,233,419,286,566
2008_003136_jpg.rf.d76658656541d5eb0c6e78db1211e2a2.jpg,400,500,person,0,22,70,192
2008_003136_jpg.rf.d76658656541d5eb0c6e78db1211e2a2.jpg,400,500,person,110,51,396,373

112_frame_599_png.rf.c8746cf45fcd6ff53a6c91e34bbf39b5.jpg,960,540,person,688,275,759,440
112_frame_599_png.rf.c8746cf45fcd6ff53a6c91e34bbf39b5.jpg,960,540,person,287,275,314,374
112_frame_599_png.rf.c8746cf45fcd6ff53a6c91e34bbf39b5.jpg,960,540,person,402,291,425,340

1DUOU2W1RCVI_jpg.rf.7576c03e0e8d03a08098b9e24d449401.jpg,720,604,person,272,295,321,366

2010_002139_jpg.rf.85e6cf74295ee93a9d7c6a5dbee78b03.jpg,333,500,person,149,48,195,189
2010_002139_jpg.rf.85e6cf74295ee93a9d7c6a5dbee78b03.jpg,333,500,person,185,50,237,188

2009_002377_jpg.rf.48e19c6bd4ebb4c030a39065dad1fae6.jpg,468,468,person,229,5,468,140
2009_002377_jpg.rf.48e19c6bd4ebb4c030a39065dad1fae6.jpg,468,468,person,371,0,446,79
2009_002326_jpg.rf.98abad73555fecf6461d16ef3ee82270.jpg,500,334,person,30,15,444,333
2008_003128_jpg.rf.0618b0cb61c857f8ab198f5219fdafd1.jpg,500,420,person,124,82,446,419
2008_003128_jpg.rf.0618b0cb61c857f8ab198f5219fdafd1.jpg,500,420,person,0,0,213,368
2008_003168_jpg.rf.b979af0ad872859bb46cff34c3eea7c9.jpg,438,438,person,230,13,302,331
2008_003168_jpg.rf.b979af0ad872859bb46cff34c3eea7c9.jpg,438,438,person,251,0,318,303
2008_003168_jpg.rf.b979af0ad872859bb46cff34c3eea7c9.jpg,438,438,person,114,406,157,438
2008_003168_jpg.rf.b979af0ad872859bb46cff34c3eea7c9.jpg,438,438,person,228,332,366,438
2008_003168_jpg.rf.b979af0ad872859bb46cff34c3eea7c9.jpg,438,438,person,342,332,438,438
2008_003146_jpg.rf.557768e53bad2b2c82e1850e2ede5d06.jpg,500,375,person,113,92,311,374
2008_003146_jpg.rf.557768e53bad2b2c82e1850e2ede5d06.jpg,500,375,person,288,121,496,374
2009_002381_jpg.rf.9bc109a59825c5897ba61c51d3fa8de4.jpg,468,468,person,0,0,112,173
2009_002381_jpg.rf.9bc109a59825c5897ba61c51d3fa8de4.jpg,468,468,person,26,173,96,423
2009_002381_jpg.rf.9bc109a59825c5897ba61c51d3fa8de4.jpg,468,468,person,306,197,394,412
2009_002381_jpg.rf.9bc109a59825c5897ba61c51d3fa8de4.jpg,468,468,person,205,203,372,468
fourth_024_png_jpg.rf.1f18f081fbd700d1fea38dabd86dde4c.jpg,1280,720,person,905,122,940,231
fourth_024_png_jpg.rf.1f18f081fbd700d1fea38dabd86dde4c.jpg,1280,720,person,623,163,665,294
fourth_024_png_jpg.rf.1f18f081fbd700d1fea38dabd86dde4c.jpg,1280,720,person,1059,68,1095,152
